operator_id,total_calls,incoming_calls,outgoing_calls,missed_incoming_calls,avg_wait_time,avg_call_duration,avg_total_call_duration,incoming_missed_ratio
879896,1131.0,60.0,1071.0,0.0,12.525198938992043,73.61715296198055,86.14235190097259,0.0
879898,7974.0,118.0,7856.0,0.0,14.16754451968899,34.97341359418109,49.14095811387008,0.0
880020,54.0,8.0,46.0,0.0,6.185185185185185,42.407407407407405,48.592592592592595,0.0
880022,219.0,8.0,211.0,0.0,19.977168949771688,83.57990867579909,103.55707762557077,0.0
880026,2439.0,25.0,2414.0,0.0,9.836818368183682,69.5670356703567,79.40385403854039,0.0
880028,2906.0,70.0,2836.0,0.0,16.377838953888507,58.037164487267724,74.41500344115623,0.0
880240,49.0,0.0,49.0,0.0,11.693877551020408,78.83673469387755,90.53061224489795,
881278,20.0,0.0,20.0,0.0,3.9,23.25,27.15,
882476,3.0,3.0,0.0,0.0,31.666666666666668,64.0,95.66666666666667,0.0
882478,4.0,3.0,1.0,0.0,20.75,17.0,37.75,0.0
882680,109.0,109.0,0.0,3.0,15.660550458715596,57.77981651376147,73.44036697247707,0.027522935779816515
882684,1364.0,643.0,721.0,4.0,15.486070381231672,172.0373900293255,187.5234604105572,0.006220839813374806
882686,3931.0,837.0,3094.0,6.0,17.598066649707455,101.8616128211651,119.45967947087256,0.007168458781362007
882688,82.0,20.0,62.0,0.0,23.21951219512195,117.35365853658537,140.5731707317073,0.0
882690,1766.0,176.0,1590.0,2.0,23.091166477916193,80.44563986409966,103.53680634201585,0.011363636363636364
883018,2.0,0.0,2.0,0.0,7.5,0.0,7.5,
883898,1.0,0.0,1.0,0.0,10.0,70.0,80.0,
883940,694.0,8.0,686.0,0.0,18.30115273775216,31.608069164265128,49.90922190201729,0.0
883942,2327.0,99.0,2228.0,0.0,13.437473141383755,66.84529437043403,80.2827675118178,0.0
884294,1.0,1.0,0.0,0.0,6.0,5.0,11.0,0.0
884402,4.0,0.0,4.0,0.0,18.25,53.5,71.75,
884406,6.0,0.0,6.0,0.0,23.666666666666668,2.6666666666666665,26.333333333333332,
884408,66.0,41.0,25.0,4.0,25.545454545454547,38.60606060606061,64.15151515151516,0.0975609756097561
884412,863.0,20.0,843.0,0.0,20.18539976825029,60.681344148319816,80.8667439165701,0.0
884478,2361.0,25.0,2336.0,0.0,15.774671749258788,21.628970775095297,37.40364252435409,0.0
884524,3.0,3.0,0.0,0.0,10.333333333333334,26.0,36.333333333333336,0.0
884946,2042.0,12.0,2030.0,0.0,21.729676787463273,20.765915768854065,42.495592556317334,0.0
885682,3.0,0.0,3.0,0.0,17.0,0.0,17.0,
885876,66049.0,1152.0,64897.0,24.0,23.261230298717617,70.61354448969705,93.87477478841465,0.020833333333333332
885890,66016.0,1363.0,64653.0,27.0,24.030780416868637,55.54915475036355,79.57993516723218,0.019809244314013204
886146,52.0,1.0,51.0,0.0,22.192307692307693,113.76923076923077,135.96153846153845,0.0
886674,14.0,14.0,0.0,0.0,13.785714285714286,13.214285714285714,27.0,0.0
886892,2.0,2.0,0.0,0.0,29.0,36.0,65.0,0.0
887276,1421.0,458.0,963.0,3.0,19.12667135819845,90.04433497536945,109.17100633356792,0.006550218340611353
887278,328.0,54.0,274.0,0.0,11.304878048780488,93.8170731707317,105.1219512195122,0.0
887280,8.0,0.0,8.0,0.0,2.5,3.875,6.375,
887282,2452.0,29.0,2423.0,0.0,14.431892332789559,70.1031810766721,84.53507340946166,0.0
887416,22.0,22.0,0.0,0.0,16.772727272727273,104.0909090909091,120.86363636363636,0.0
887802,145.0,20.0,125.0,0.0,12.537931034482758,70.47586206896551,83.01379310344828,0.0
887992,47.0,0.0,47.0,0.0,14.46808510638298,20.659574468085108,35.12765957446808,
888406,15.0,9.0,6.0,1.0,21.866666666666667,49.333333333333336,71.2,0.1111111111111111
888520,6.0,6.0,0.0,0.0,15.666666666666666,193.0,208.66666666666666,0.0
888532,218.0,12.0,206.0,2.0,10.275229357798166,49.20183486238532,59.477064220183486,0.16666666666666666
888534,398.0,61.0,337.0,2.0,12.987437185929648,56.97989949748744,69.96733668341709,0.03278688524590164
888536,60.0,2.0,58.0,0.0,11.466666666666667,21.75,33.21666666666667,0.0
888538,7.0,1.0,6.0,0.0,16.714285714285715,131.0,147.71428571428572,0.0
888540,20.0,3.0,17.0,0.0,13.7,130.65,144.35,0.0
888868,77.0,23.0,54.0,1.0,20.545454545454547,82.63636363636364,103.18181818181819,0.043478260869565216
889410,1568.0,464.0,1104.0,0.0,14.262117346938776,51.24808673469388,65.51020408163265,0.0
889638,4.0,4.0,0.0,0.0,14.5,11.0,25.5,0.0
889640,2.0,2.0,0.0,0.0,13.5,25.0,38.5,0.0
889754,1853.0,511.0,1342.0,2.0,14.961683756071237,63.68159740960604,78.64328116567728,0.003913894324853229
890226,7.0,4.0,3.0,0.0,18.857142857142858,11.571428571428571,30.428571428571427,0.0
890228,109.0,6.0,103.0,1.0,17.68807339449541,60.642201834862384,78.3302752293578,0.16666666666666666
890232,39.0,0.0,39.0,0.0,13.564102564102564,429.94871794871796,443.5128205128205,
890234,1.0,0.0,1.0,0.0,12.0,85.0,97.0,
890402,1928.0,548.0,1380.0,0.0,15.014522821576763,186.27489626556016,201.28941908713693,0.0
890404,2066.0,582.0,1484.0,2.0,15.74540174249758,188.21297192642788,203.95837366892545,0.003436426116838488
890406,1821.0,474.0,1347.0,5.0,14.55464030752334,221.17682591982427,235.73146622734762,0.010548523206751054
890410,1369.0,16.0,1353.0,0.0,17.859021183345508,156.69466764061357,174.5536888239591,0.0
890412,1373.0,29.0,1344.0,0.0,16.609613983976693,184.36125273124546,200.97086671522214,0.0
890416,1380.0,0.0,1380.0,0.0,18.320289855072463,160.07971014492753,178.4,
890420,746.0,0.0,746.0,0.0,18.482573726541556,166.343163538874,184.82573726541554,
890422,487.0,0.0,487.0,0.0,18.27310061601643,117.18891170431212,135.46201232032854,
890582,181.0,114.0,67.0,1.0,12.386740331491712,34.0939226519337,46.48066298342541,0.008771929824561403
890618,357.0,78.0,279.0,1.0,16.81232492997199,76.68627450980392,93.49859943977592,0.01282051282051282
891152,286.0,0.0,286.0,0.0,18.996503496503497,244.24475524475525,263.2412587412587,
891154,603.0,0.0,603.0,0.0,17.96849087893864,438.6832504145937,456.6517412935323,
891156,24.0,0.0,24.0,0.0,16.041666666666668,261.9583333333333,278.0,
891158,305.0,0.0,305.0,0.0,15.104918032786886,365.2983606557377,380.4032786885246,
891160,426.0,0.0,426.0,0.0,18.73474178403756,103.87089201877934,122.6056338028169,
891162,114.0,0.0,114.0,0.0,15.991228070175438,124.78947368421052,140.78070175438597,
891166,275.0,0.0,275.0,0.0,16.156363636363636,274.9818181818182,291.1381818181818,
891170,219.0,0.0,219.0,0.0,18.506849315068493,122.00456621004567,140.51141552511416,
891192,1.0,0.0,1.0,0.0,32.0,1306.0,1338.0,
891250,2.0,0.0,2.0,0.0,9.0,55.0,64.0,
891252,98.0,0.0,98.0,0.0,9.795918367346939,42.734693877551024,52.53061224489796,
891254,2.0,2.0,0.0,0.0,26.0,79.0,105.0,0.0
891410,3773.0,742.0,3031.0,2.0,9.923138086403393,97.9655446594222,107.8886827458256,0.0026954177897574125
891414,3374.0,528.0,2846.0,1.0,7.6197391819798455,90.11144042679312,97.73117960877298,0.001893939393939394
891416,966.0,152.0,814.0,0.0,9.660455486542443,86.83229813664596,96.4927536231884,0.0
891646,8.0,8.0,0.0,0.0,20.5,26.125,46.625,0.0
891744,14.0,5.0,9.0,0.0,13.714285714285714,12.857142857142858,26.571428571428573,0.0
891746,37.0,0.0,37.0,0.0,24.972972972972972,27.675675675675677,52.648648648648646,
891824,46.0,12.0,34.0,0.0,10.434782608695652,63.08695652173913,73.52173913043478,0.0
891900,36.0,36.0,0.0,0.0,37.166666666666664,122.63888888888889,159.80555555555554,0.0
